"product_id","name","category","mrp","discount_percent","discounted_selling_price"
1095,"Patanjali Cow's Ghee","Munchies",56500,0,56500
581,"Patanjali Cow's Ghee","Cooking Essentials",56500,0,56500
3441,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)","Paan Corner",39900,7,36900
3097,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)","Personal Care",39900,7,36900
1068,"Aashirvaad Atta With Mutigrains","Munchies",31500,8,28700
554,"Aashirvaad Atta With Mutigrains","Cooking Essentials",31500,8,28700
1088,"Everest Kashmiri Lal Chilli Powder","Munchies",31000,10,27900
574,"Everest Kashmiri Lal Chilli Powder","Cooking Essentials",31000,10,27900
1060,"Madhur Pure And Hygienic Sugar","Munchies",29500,9,26600
1250,"RRO Mozzarella Block Cheese","Dairy, Bread & Batter",29500,50,14700
