"product_id","name","category","mrp","discount_percent","discounted_selling_price"
1095,"Patanjali Cow's Ghee","Munchies",56500,0,56500
581,"Patanjali Cow's Ghee","Cooking Essentials",56500,0,56500
3097,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)","Personal Care",39900,7,36900
3441,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)","Paan Corner",39900,7,36900
554,"Aashirvaad Atta With Mutigrains","Cooking Essentials",31500,8,28700
1068,"Aashirvaad Atta With Mutigrains","Munchies",31500,8,28700
1088,"Everest Kashmiri Lal Chilli Powder","Munchies",31000,10,27900
574,"Everest Kashmiri Lal Chilli Powder","Cooking Essentials",31000,10,27900
1760,"Hershey's Cocoa + Almond Spread","Packaged Food",29500,9,26600
1250,"RRO Mozzarella Block Cheese","Dairy, Bread & Batter",29500,50,14700
546,"Madhur Pure And Hygienic Sugar","Cooking Essentials",29500,9,26600
1060,"Madhur Pure And Hygienic Sugar","Munchies",29500,9,26600
1379,"RRO Mozzarella Block Cheese","Beverages",29500,50,14700
2148,"Hershey's Cocoa + Almond Spread","Ice Cream & Desserts",29500,9,26600
2536,"Hershey's Cocoa + Almond Spread","Chocolates & Candies",29500,9,26600
2600,"Godrej Real Good Chicken Boneless Cubes ","Meats, Fish & Eggs",27500,9,24800
2606,"Zorabian Chicken Cubes","Meats, Fish & Eggs",27000,0,27000
1745,"Kelloggs Corn Flakes With Real Strawberry Pure","Packaged Food",26500,10,23600
2133,"Kelloggs Corn Flakes With Real Strawberry Pure","Ice Cream & Desserts",26500,10,23600
2521,"Kelloggs Corn Flakes With Real Strawberry Pure","Chocolates & Candies",26500,10,23600
1767,"Del Monte Pitted Green Olives","Packaged Food",25000,0,25000
2543,"Del Monte Pitted Green Olives","Chocolates & Candies",25000,0,25000
2604,"Zorabian Chicken Leg Boneless ","Meats, Fish & Eggs",25000,0,25000
2152,"Yummiez Green Peas","Ice Cream & Desserts",25000,0,25000
2603,"Zorabian Chicken Mince","Meats, Fish & Eggs",25000,0,25000
1764,"Yummiez Green Peas","Packaged Food",25000,0,25000
3634,"Origami Plates Plain","Home & Cleaning",25000,10,22500
2155,"Del Monte Pitted Green Olives","Ice Cream & Desserts",25000,0,25000
2540,"Yummiez Green Peas","Chocolates & Candies",25000,0,25000
3726,"Gillette Venus Close & Clean Razor ","Health & Hygiene",24900,7,23000
3432,"Gillette Venus Close & Clean Razor ","Paan Corner",24900,7,23000
3088,"Gillette Venus Close & Clean Razor ","Personal Care",24900,7,23000
3630,"Comfort After Wash Fabric Conditioner Lily Fresh ","Home & Cleaning",23500,9,21200
2745,"Britannia Good Day Cashew Cookies","Biscuits",23000,25,17200
3081,"Parachute Advansed Gold Coconut Hair Oil","Personal Care",21500,9,19400
3425,"Parachute Advansed Gold Coconut Hair Oil","Paan Corner",21500,9,19400
2599,"Fresh Chicken Mince - Kheema (Halal)","Meats, Fish & Eggs",21500,5,20400
1063,"Fortune Soyabean Oil","Munchies",21000,13,18100
549,"Fortune Soyabean Oil","Cooking Essentials",21000,13,18100
1110,"India Gate Basmati Rice","Munchies",21000,0,21000
596,"India Gate Basmati Rice","Cooking Essentials",21000,0,21000
3632,"Surf Excel Quick Wash","Home & Cleaning",20800,6,19500
2138,"Zorabian Chicken Kheema Parathas","Ice Cream & Desserts",19000,0,19000
2526,"Zorabian Chicken Kheema Parathas","Chocolates & Candies",19000,0,19000
3626,"Gala No Dust Broom","Home & Cleaning",19000,7,17500
598,"Zorabian Chicken Kheema Parathas","Cooking Essentials",19000,0,19000
1750,"Zorabian Chicken Kheema Parathas","Packaged Food",19000,0,19000
2598,"Zorabian Chicken Kheema Parathas","Meats, Fish & Eggs",19000,0,19000
1112,"Zorabian Chicken Kheema Parathas","Munchies",19000,0,19000
1241,"The Whole Truth Peanut Butter - Unsweetened & Crunchy","Dairy, Bread & Batter",18500,20,14800
2508,"The Whole Truth Peanut Butter - Unsweetened & Crunchy","Chocolates & Candies",18500,20,14800
2120,"The Whole Truth Peanut Butter - Unsweetened & Crunchy","Ice Cream & Desserts",18500,20,14800
3730,"Whisper Bindazzz Night Sanitary Pads XL Plus","Health & Hygiene",18500,0,18500
3439,"Whisper Bindazzz Night Sanitary Pads XL Plus","Paan Corner",18500,0,18500
583,"Daawat Super Basmati Rice","Cooking Essentials",18500,8,16900
3095,"Whisper Bindazzz Night Sanitary Pads XL Plus","Personal Care",18500,0,18500
1732,"The Whole Truth Peanut Butter - Unsweetened & Crunchy","Packaged Food",18500,20,14800
1097,"Daawat Super Basmati Rice","Munchies",18500,8,16900
1370,"The Whole Truth Peanut Butter - Unsweetened & Crunchy","Beverages",18500,20,14800
560,"Tata Sampann Unpolished Toor Dal/Arhar Dal","Cooking Essentials",17900,1,17700
1074,"Tata Sampann Unpolished Toor Dal/Arhar Dal","Munchies",17900,1,17700
594,"Chef's Basket Durum Wheat Penne Pasta","Cooking Essentials",16000,50,8000
2136,"Chef's Basket Durum Wheat Penne Pasta","Ice Cream & Desserts",16000,50,8000
93,"Safal Frozen - Sweet Corn","Fruits & Vegetables",16000,5,15200
2145,"ITC Master Chef Cheesy Corn Triangles","Ice Cream & Desserts",16000,5,15200
