"category","avg_discount","min_discount","max_discount"
"Fruits & Vegetables",15.46,4.00,23.00
"Meats, Fish & Eggs",11.03,0.00,50.00
"Packaged Food",8.32,0.00,50.00
"Ice Cream & Desserts",8.32,0.00,50.00
"Chocolates & Candies",8.32,0.00,50.00
"Biscuits",8.24,0.00,51.00
"Health & Hygiene",8.05,0.00,50.00
"Beverages",7.16,0.00,50.00
"Cooking Essentials",7.16,0.00,50.00
"Munchies",7.16,0.00,50.00
"Dairy, Bread & Batter",7.16,0.00,50.00
"Personal Care",6.25,0.00,45.00
"Paan Corner",6.25,0.00,45.00
"Home & Cleaning",5.68,0.00,18.00
