"category","total_products","out_of_stock_products","stockout_rate"
"Biscuits",147,42,28.57
"Beverages",129,28,21.71
"Dairy, Bread & Batter",129,28,21.71
"Meats, Fish & Eggs",63,12,19.05
"Health & Hygiene",97,13,13.40
"Munchies",514,64,12.45
"Cooking Essentials",514,64,12.45
"Ice Cream & Desserts",388,45,11.60
"Chocolates & Candies",388,45,11.60
"Packaged Food",388,45,11.60
"Home & Cleaning",194,19,9.79
"Fruits & Vegetables",93,6,6.45
"Personal Care",344,21,6.10
"Paan Corner",344,21,6.10
